vyhral;delka_hry
0;15.23
1;20.58
0;23.28
0;29.15
0;31.62
0;19.78
0;18.72
0;22.65
0;24.97
0;60.78
0;65.62
0;68.12
0;17.07
0;24.88
0;15.13
0;45.08
0;52.97
0;65.93
0;53.20
0;111.70
0;25.28
0;36.83
0;120.68
0;42.58
0;21.73
0;60.97
0;48.15
0;93.00
0;39.67
1;61.80
0;29.82
0;38.68
0;59.27
0;31.35
0;28.17
0;24.95
0;17.25
0;38.85
0;23.07
0;16.12
0;68.92
0;25.63
0;57.02
0;17.77
0;60.45
0;167.78
1;48.95
0;55.08
0;19.42
0;119.10
0;37.50
0;102.85
0;69.53
1;14.93
0;121.82
0;37.68
0;22.25
0;22.52
0;40.35
0;26.33
1;19.57
0;22.10
0;172.55
0;200.92
0;32.55
0;189.10
0;41.43
0;66.30
0;36.45
0;189.78
0;75.23
0;63.17
0;103.07
0;21.97
0;25.07
0;71.10
0;39.70
0;308.80
1;26.87
0;107.85
0;85.42
0;45.20
0;25.82
0;36.12
0;34.48
0;48.70
0;96.73
0;45.32
0;88.43
0;16.10
0;21.58
0;75.22
0;127.53
0;20.00
0;23.58
0;141.08
0;57.52
0;54.83
0;106.70
0;35.28
0;48.67
0;44.45
0;109.83
0;19.73
0;33.45
0;33.73
0;182.13
0;39.35
0;21.67
0;67.23
0;45.67
0;157.97
0;26.85
0;43.90
0;107.98
0;48.42
0;33.40
0;21.33
0;119.95
0;40.43
0;44.73
0;61.43
0;31.75
0;50.98
0;181.37
0;41.30
0;19.98
0;34.10
0;71.55
0;155.03
1;32.02
0;39.85
0;86.42
0;36.02
0;19.87
0;32.73
0;136.65
0;62.33
0;267.05
0;19.97
0;78.58
0;58.07
0;26.08
0;66.53
0;20.50
0;25.60
0;37.38
0;34.27
0;223.53
0;14.32
0;32.73
0;23.00
0;16.15
0;81.98
0;198.10
0;105.58
0;17.33
0;36.70
0;36.38
0;32.83
1;18.20
1;24.08
0;73.28
0;58.50
0;36.63
0;30.60
0;130.22
0;26.13
0;23.02
0;17.50
0;80.15
0;135.87
0;194.17
0;38.00
0;22.92
0;20.93
0;19.55
0;48.57
0;65.13
0;38.53
0;22.50
0;55.70
0;29.12
0;42.83
0;25.92
0;36.15
0;104.25
0;39.57
0;35.82
0;31.42
0;206.95
0;56.90
0;46.55
0;27.58
0;35.23
0;184.12
1;30.67
0;33.07
0;21.95
0;48.08
0;73.48
0;192.88
0;48.65
0;23.55
0;35.38
0;170.28
0;20.47
0;14.33
0;49.38
1;31.67
0;96.45
0;34.88
0;54.18
0;101.70
0;37.08
0;16.95
0;39.40
0;46.23
0;217.52
0;90.97
0;26.47
0;31.03
1;36.32
0;27.15
0;25.27
1;32.58
0;27.18
0;89.12
0;158.07
0;153.95
0;67.02
0;36.20
0;34.72
0;24.47
0;43.72
0;196.15
0;127.80
0;16.93
0;18.90
0;32.25
0;24.27
0;47.40
1;33.43
0;44.87
0;33.52
0;135.10
0;121.93
0;247.77
0;54.95
0;49.72
0;42.23
0;22.30
0;60.98
0;36.70
0;114.60
0;87.55
0;27.37
0;273.87
0;38.80
0;43.13
0;24.85
0;42.02
0;62.68
0;59.67
0;98.32
0;37.67
0;47.93
0;134.42
0;29.75
1;21.17
0;193.50
0;29.63
0;23.10
0;40.32
0;16.38
0;29.20
0;147.45
0;60.07
0;66.92
0;112.57
0;130.02
0;39.18
0;61.22
0;46.75
0;170.25
0;153.60
0;57.37
0;29.85
0;131.32
0;46.50
0;24.92
0;299.18
1;30.85
1;28.75
0;37.90
0;45.72
0;31.45
0;47.40
0;179.08
0;21.82
