vyhral;delka_hry
1;16.58
1;41.85
1;53.12
1;72.65
0;92.05
0;96.57
0;82.97
0;109.63
0;88.58
0;148.53
0;82.43
0;105.80
0;85.15
0;85.05
1;41.70
1;72.02
0;107.78
0;50.53
0;25.70
0;40.18
1;55.85
1;91.32
1;57.67
0;42.33
0;59.18
0;79.07
0;82.25
0;63.98
1;61.72
0;222.70
0;59.63
0;83.25
1;81.92
0;64.30
0;139.72
0;25.65
0;62.63
1;66.50
0;61.98
1;33.38
0;65.52
1;53.00
1;110.48
0;74.60
1;41.85
0;120.23
0;27.92
1;68.53
0;39.47
0;107.75
0;64.30
1;46.78
0;52.42
1;72.02
0;78.08
0;302.37
0;112.10
0;107.72
0;95.12
0;74.15
1;49.62
0;96.43
0;83.22
0;64.00
0;55.33
0;103.53
1;76.65
0;157.15
0;93.68
1;65.50
1;23.77
0;53.63
0;65.13
0;69.52
0;93.32
0;75.25
0;228.47
0;65.68
0;70.63
0;104.02
0;125.73
1;31.12
0;33.87
0;57.83
1;42.22
0;100.03
0;97.38
1;103.57
0;29.23
0;69.38
0;145.10
0;249.93
0;43.22
0;78.85
0;85.27
0;35.23
0;24.30
1;32.22
1;58.55
1;34.93
0;124.60
0;53.32
0;155.85
1;89.17
1;96.83
0;23.20
1;47.50
0;59.43
1;37.80
0;51.93
0;46.17
0;108.27
0;45.27
1;69.75
0;43.68
0;61.70
0;35.95
0;32.55
0;38.42
0;93.75
1;61.68
0;56.43
0;79.65
1;53.58
0;87.72
1;59.10
0;80.15
0;32.90
0;100.77
0;118.68
1;41.93
0;70.35
0;194.03
0;59.00
0;98.27
0;171.18
0;51.58
1;74.33
0;134.12
0;117.82
1;32.60
0;80.58
0;29.35
0;65.67
0;102.33
0;50.00
0;27.93
0;68.80
0;43.93
0;59.65
0;30.35
0;188.25
1;78.25
0;119.70
1;67.48
0;57.25
1;61.13
0;29.30
0;74.47
0;39.68
0;81.40
1;92.90
0;142.10
0;32.42
1;111.37
0;67.43
0;57.13
0;65.93
0;49.72
0;103.50
0;49.03
0;68.67
0;67.22
0;22.88
0;37.68
0;91.78
0;55.05
0;43.45
0;97.15
0;37.20
0;34.98
0;63.18
1;58.00
0;123.80
0;43.28
0;38.00
0;64.53
0;53.73
0;122.17
0;57.75
0;55.75
0;47.42
0;51.77
1;38.32
0;43.72
1;43.80
0;260.33
0;71.50
0;73.53
1;79.13
0;71.63
1;28.40
1;33.13
0;83.52
0;54.87
0;37.78
0;193.10
1;62.82
0;34.98
0;130.38
0;74.62
0;171.78
1;105.60
1;46.68
0;65.05
1;74.30
0;30.67
0;67.47
1;92.02
0;52.62
0;34.00
0;58.40
0;64.47
0;68.65
0;48.17
0;277.08
0;43.20
0;62.72
0;124.87
0;73.25
0;47.23
0;35.27
0;90.03
0;74.72
0;132.08
0;62.83
0;23.30
1;73.35
1;140.72
1;32.07
0;111.55
0;72.80
0;44.13
1;50.55
1;52.58
0;125.27
0;53.52
0;123.20
0;130.10
0;38.47
0;38.23
1;68.07
0;57.48
1;50.15
0;19.10
1;35.72
0;44.78
0;120.63
0;88.22
0;64.90
0;123.42
0;59.88
0;59.35
0;86.95
0;75.82
1;78.72
0;54.00
0;141.33
1;74.98
0;47.37
1;139.18
1;117.32
0;287.03
0;51.82
0;60.93
0;70.50
1;83.88
0;59.57
1;99.48
1;28.72
0;39.75
0;53.27
0;133.58
1;121.87
0;42.23
0;211.43
1;76.97
0;40.15
0;106.33
0;78.30
0;96.47
0;47.83
0;165.00
0;70.87
0;224.62
0;69.07
0;138.03
0;102.87
0;75.27
0;77.23
