vyhral;delka_hry
0;30.20
0;31.27
0;68.02
0;46.47
0;81.72
0;37.27
0;130.12
0;42.07
0;66.35
0;133.48
0;77.92
1;45.52
0;75.02
0;108.08
0;15.48
0;48.65
0;64.98
0;34.38
0;288.22
0;164.13
0;70.58
0;58.53
1;28.13
0;153.57
0;99.22
0;31.47
0;19.85
1;151.45
0;137.67
0;72.15
0;55.52
0;31.97
0;54.95
0;67.00
1;62.33
0;81.32
0;199.03
0;74.37
0;208.20
0;105.78
0;57.93
0;57.98
0;58.88
1;18.82
0;96.92
1;58.00
0;59.65
0;40.65
0;68.55
1;20.45
0;35.65
1;90.50
0;54.12
0;77.87
0;92.58
0;91.32
0;89.40
0;52.35
0;107.35
0;415.10
0;89.52
0;191.83
0;55.67
1;103.35
0;98.87
0;47.95
0;201.08
0;71.75
0;141.90
0;59.50
0;46.97
0;53.18
1;56.30
0;58.87
0;75.70
1;106.45
0;44.73
0;41.38
0;373.13
0;53.70
1;48.95
0;88.48
0;173.28
0;51.27
0;103.22
0;317.57
0;28.97
0;21.30
0;48.85
0;100.58
0;99.38
1;74.65
0;58.83
0;78.60
0;64.40
0;54.72
0;43.83
1;52.35
0;72.72
1;42.00
1;45.45
0;15.72
0;107.17
0;53.02
0;87.88
0;93.58
1;36.52
1;36.32
0;58.20
0;148.95
0;136.83
0;200.72
0;51.67
0;90.30
0;86.25
1;52.42
0;87.40
0;73.48
0;52.52
0;54.77
0;66.48
0;51.12
0;63.22
0;160.72
0;22.30
1;46.82
0;96.95
0;102.48
0;41.60
0;57.43
1;150.97
0;75.05
0;141.43
0;147.25
0;65.22
0;313.35
0;135.07
0;49.00
0;37.35
0;66.27
0;68.02
1;43.60
0;234.72
0;56.45
0;81.12
0;69.95
0;122.90
0;75.45
0;75.37
0;120.22
0;51.42
1;119.10
0;85.03
0;64.28
0;46.48
0;229.28
0;53.62
0;98.18
0;285.37
0;94.75
1;104.72
0;263.53
0;88.90
0;53.08
0;67.45
0;118.13
0;85.30
1;70.40
1;275.90
0;63.32
0;151.73
0;57.32
0;60.02
0;108.33
0;96.33
0;161.78
0;107.42
0;40.40
0;60.63
1;36.83
0;48.63
0;50.80
0;245.10
1;86.32
0;244.02
1;47.08
0;112.90
0;81.93
0;61.67
0;67.62
0;103.95
1;45.65
0;20.02
0;155.48
0;97.02
0;46.00
1;35.57
0;30.68
1;100.80
1;78.88
0;59.35
1;81.78
0;45.78
0;33.25
1;77.35
1;130.93
0;120.53
1;66.68
0;40.77
0;46.33
0;26.17
0;75.47
0;36.07
0;133.88
0;94.35
0;87.62
0;56.07
1;35.38
0;60.75
0;135.02
0;65.40
0;31.08
0;69.55
0;43.03
0;129.20
0;78.22
1;104.13
0;54.77
1;32.12
0;47.32
0;44.47
0;85.60
0;91.97
0;47.65
0;54.57
0;50.53
0;99.07
1;42.12
0;55.92
0;242.63
0;72.73
0;40.37
0;56.32
0;90.12
0;230.82
0;173.75
0;78.23
0;70.68
1;60.68
0;100.93
0;88.02
0;72.27
0;114.32
0;212.05
0;71.93
0;19.73
0;40.22
0;251.42
0;77.10
0;61.98
1;90.18
0;67.00
1;63.10
1;69.85
0;102.87
0;75.57
0;124.67
0;92.53
1;68.93
0;139.68
0;101.43
0;45.82
0;115.00
1;26.08
0;53.50
0;163.35
1;36.45
0;61.92
0;53.92
0;74.58
0;86.13
0;28.63
0;104.83
0;27.58
1;27.97
0;48.93
0;33.95
0;60.92
0;97.23
0;42.00
1;47.45
0;70.45
0;106.22
0;88.78
0;225.32
1;123.95
0;107.20
0;94.88
0;50.22
1;129.90
