vyhral;delka_hry
0;26.43
1;71.65
1;97.45
0;112.68
0;106.53
1;74.90
0;131.93
1;178.33
0;355.57
0;93.05
0;366.50
1;118.12
0;152.48
0;570.47
1;446.20
0;153.48
0;205.52
0;150.12
1;169.95
0;392.82
0;88.52
0;61.70
0;134.50
1;111.98
0;388.77
0;219.65
1;159.18
0;89.40
1;179.02
1;82.75
0;141.52
1;87.35
0;816.42
1;307.52
0;225.62
1;266.30
1;483.93
1;64.03
0;232.67
1;178.05
0;383.93
0;99.52
1;611.53
1;101.92
0;270.60
1;1718.53
1;301.67
1;286.30
0;138.67
0;86.70
0;166.57
0;129.33
1;69.65
0;296.95
0;312.97
0;46.55
1;471.42
0;71.58
0;220.37
0;249.57
0;99.48
0;118.03
0;117.22
1;158.63
0;113.08
0;655.45
1;354.97
0;177.82
1;114.50
0;357.35
0;101.42
0;144.33
1;101.25
0;184.78
0;273.10
0;204.60
0;179.42
0;105.50
0;164.57
0;80.18
1;56.50
0;110.48
1;74.70
0;139.22
1;299.50
0;77.83
1;148.65
0;76.07
1;213.63
1;463.48
0;480.80
0;519.27
0;200.70
0;97.08
0;137.35
0;242.27
0;68.55
0;138.37
0;145.65
0;229.53
0;66.10
0;78.33
1;465.80
0;378.72
0;234.05
0;263.92
1;215.17
0;221.15
0;74.73
0;177.27
0;44.25
0;249.42
0;284.70
0;392.93
1;321.52
0;42.78
1;743.85
0;50.65
0;112.03
0;145.65
1;187.27
0;163.58
0;335.92
1;214.83
0;26.73
1;138.20
0;167.38
0;368.25
1;133.15
0;31.02
0;99.38
0;528.58
0;223.47
0;170.68
0;253.88
0;155.38
0;117.10
0;314.22
0;384.33
1;325.45
0;114.03
1;857.98
0;345.52
0;82.58
0;114.92
0;80.42
0;267.13
1;152.80
0;114.18
1;126.22
1;95.68
0;235.68
0;175.62
1;139.77
0;133.32
0;124.28
0;47.97
0;136.63
0;135.62
1;253.57
0;165.20
0;101.57
0;226.03
0;148.65
