vyhral;delka_hry
0;43.73
0;69.70
0;76.12
0;123.87
1;129.92
0;142.33
0;154.52
0;172.08
1;106.32
0;60.02
0;153.07
0;75.72
0;61.00
0;121.38
0;103.48
0;84.15
0;49.57
1;12.70
0;90.62
0;48.05
1;44.13
0;255.13
0;128.15
1;78.78
0;103.83
0;66.50
1;139.17
0;143.18
0;105.03
1;194.45
0;112.15
0;29.78
1;94.62
1;128.20
1;110.33
1;192.68
0;118.10
0;110.08
0;78.13
1;62.67
0;105.13
0;190.55
1;60.27
0;104.85
1;76.48
1;66.57
1;144.53
0;192.87
1;88.02
0;107.97
0;57.67
0;165.02
0;208.05
1;238.12
1;79.67
0;48.57
0;166.93
0;87.38
0;82.38
1;180.57
0;44.73
0;212.40
0;36.03
0;163.37
0;34.20
0;70.35
1;47.07
1;136.37
1;51.33
0;92.30
1;120.65
1;157.75
0;49.18
1;76.47
0;77.43
0;36.18
0;57.82
1;153.38
0;94.83
1;216.92
0;164.27
1;248.60
0;535.70
1;58.23
0;105.20
0;108.82
0;63.38
0;37.52
1;37.93
1;128.00
1;84.85
0;131.38
0;153.48
1;32.88
0;247.83
0;111.50
0;133.98
0;132.20
0;76.07
1;120.95
1;55.53
0;84.75
1;16.32
1;101.40
1;218.00
1;264.40
1;191.55
0;34.87
0;105.10
0;201.85
1;67.03
0;50.40
0;33.80
1;242.65
0;30.58
0;124.87
0;209.68
0;135.97
0;149.50
0;77.50
1;140.15
0;120.03
0;135.18
0;247.97
0;176.23
0;106.72
0;205.13
0;194.67
1;133.85
1;103.95
1;37.05
0;104.13
0;54.50
0;40.18
1;26.62
1;129.85
1;323.87
0;92.95
1;41.40
0;49.73
0;25.63
0;69.17
0;64.47
1;109.00
0;153.52
0;106.55
0;207.90
0;84.02
0;13.13
1;277.48
0;44.43
0;112.08
0;226.55
1;55.10
1;301.40
1;179.90
0;302.72
0;22.92
0;192.23
0;110.45
0;179.75
0;209.50
0;93.60
1;175.33
1;118.17
0;117.92
1;82.45
1;133.88
1;215.03
0;237.98
0;65.57
0;132.97
0;71.15
0;89.52
1;145.07
0;96.22
0;139.03
0;66.83
0;21.00
1;111.43
0;45.93
1;23.75
0;101.42
0;175.53
0;82.82
1;185.38
0;124.87
1;32.73
0;212.30
0;172.17
0;99.20
0;32.55
0;222.45
1;180.20
1;237.70
0;193.33
0;29.22
0;246.88
0;160.40
0;37.67
0;16.92
1;82.43
0;63.75
0;542.85
0;181.47
1;72.53
0;61.65
0;190.48
0;55.47
1;131.48
0;75.57
0;176.28
0;100.28
0;95.50
0;139.03
0;126.33
0;95.85
1;43.23
0;85.32
0;241.23
0;81.22
0;177.13
0;74.25
1;70.58
0;84.92
1;120.85
1;96.18
0;102.02
0;97.38
1;114.33
1;136.07
0;207.40
1;225.03
0;108.25
0;112.23
0;165.87
0;27.93
1;99.80
0;306.53
1;130.50
0;71.03
1;77.97
0;267.18
0;52.57
0;154.42
1;194.25
1;61.82
0;166.98
0;123.65
1;61.13
0;132.47
1;70.28
1;170.08
0;89.12
0;253.13
1;106.67
0;116.58
1;82.17
0;195.75
0;89.72
0;217.45
0;74.80
1;56.03
0;80.50
0;125.57
1;239.13
0;205.50
0;32.50
0;99.65
1;25.37
0;74.63
1;132.02
0;246.28
1;137.87
0;78.32
1;73.60
1;147.73
0;42.30
1;61.25
0;215.90
0;159.62
0;177.10
0;81.02
0;123.58
0;130.08
0;271.10
1;97.52
0;183.92
0;195.12
1;42.02
0;34.42
0;194.55
0;125.68
0;75.87
0;223.63
1;163.83
0;52.73
0;183.62
1;463.93
0;202.70
