vyhral;delka_hry
0;75.52
1;99.53
0;107.27
1;159.85
1;180.18
1;207.45
0;54.40
1;159.27
0;178.32
1;175.67
1;66.20
0;301.57
0;116.90
1;351.88
1;135.53
1;126.85
0;89.72
0;269.07
1;154.78
0;105.60
1;102.67
1;37.32
1;22.73
0;56.35
0;77.78
0;153.18
1;160.12
1;281.95
1;299.00
0;88.53
0;164.10
0;91.45
0;258.10
0;71.73
1;110.67
0;191.38
1;219.80
0;86.30
1;157.92
1;116.20
0;132.47
0;254.18
0;57.15
1;94.40
1;78.30
1;45.60
1;57.15
0;34.48
0;136.77
1;145.08
0;128.25
1;94.67
0;116.52
1;306.60
0;71.00
1;93.40
0;126.47
0;190.20
1;116.47
1;331.15
1;181.83
0;125.30
0;158.47
1;79.45
1;269.13
1;249.87
1;139.98
1;303.73
1;82.65
0;248.47
0;104.88
1;58.83
1;79.15
0;306.63
0;176.48
1;174.93
1;92.45
0;44.83
0;28.82
1;53.97
0;321.10
1;63.07
0;127.23
1;132.33
0;228.70
0;93.78
0;260.20
1;35.33
1;102.65
0;205.48
1;111.07
0;187.27
0;64.42
0;130.60
1;200.03
0;39.77
0;55.87
1;71.35
0;162.63
0;63.95
0;81.95
1;260.65
0;244.15
0;155.50
1;103.15
0;145.18
0;73.38
1;75.13
0;129.73
0;135.58
0;52.60
1;162.83
0;106.07
1;423.32
0;120.08
0;152.05
1;266.35
1;83.85
0;63.13
1;52.35
0;39.07
0;124.28
1;125.70
0;19.78
1;117.58
1;89.20
0;113.03
1;208.75
1;259.20
1;342.62
1;182.98
1;110.48
0;146.97
0;170.63
1;113.72
0;218.42
0;189.15
1;126.15
1;111.40
1;182.75
0;126.43
1;108.18
1;136.92
0;97.77
1;177.23
0;96.18
0;36.72
0;66.10
1;92.60
0;62.82
0;86.33
0;41.03
0;102.07
1;136.40
1;107.67
1;169.47
0;118.80
1;130.22
1;767.90
0;92.00
0;172.20
1;115.35
0;38.03
0;80.43
0;246.33
0;104.57
1;92.85
0;129.12
0;149.88
1;76.73
0;156.38
1;189.23
1;74.62
0;35.92
0;91.52
0;269.93
0;111.47
0;111.03
1;341.53
1;35.47
0;19.87
1;83.53
0;98.28
0;251.58
1;495.07
0;188.52
0;68.90
0;116.83
0;75.30
0;141.58
1;76.17
1;219.82
0;126.90
1;99.43
1;216.25
0;103.40
0;170.27
1;211.77
0;256.13
0;80.88
1;104.07
1;61.67
1;111.53
1;224.17
0;58.55
0;155.38
1;69.43
0;195.45
0;155.98
0;267.38
0;220.48
1;171.48
0;170.95
1;63.95
1;81.25
1;201.55
1;315.48
0;377.27
1;144.32
1;326.73
0;203.38
1;137.77
0;123.37
1;181.93
0;74.23
0;89.15
1;201.38
1;189.70
0;95.78
1;171.20
1;120.93
1;218.93
0;73.02
0;61.87
1;230.00
1;35.57
0;123.93
0;171.43
0;134.93
0;138.15
1;54.05
0;358.95
0;184.22
1;160.73
0;182.93
0;76.58
1;481.12
0;187.78
0;313.50
1;285.07
1;37.07
0;74.97
1;124.55
1;104.50
0;350.95
1;59.12
0;92.03
0;140.25
1;489.65
1;141.62
0;193.40
0;353.63
0;27.87
1;254.67
1;195.53
1;267.53
0;183.62
0;164.55
1;326.67
1;128.57
0;159.53
1;342.00
1;43.78
0;166.43
1;160.47
1;171.42
1;136.62
0;68.22
1;179.15
0;153.82
1;125.60
1;294.75
1;322.72
1;141.50
1;178.15
1;213.30
1;532.33
0;188.50
1;181.40
0;342.05
0;277.07
0;141.08
0;317.97
1;233.95
1;20.85
0;97.27
1;761.15
1;366.02
1;218.63
0;91.22
